HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 35.7 MB/s
Transfer Rate Maximum : 73.0 MB/s
Transfer Rate Average : 56.7 MB/s
Position 	Transfer Rate
59.6 %	16.18 ms
59.8 %	21.78 ms
59.9 %	20.94 ms
60.3 %	14.94 ms
60.4 %	15.39 ms
60.6 %	16.31 ms
60.7 %	18.87 ms
60.7 %	15.75 ms
60.7 %	18.19 ms
60.7 %	19.54 ms
60.7 %	15.01 ms
60.8 %	20.69 ms
60.9 %	22.09 ms
61.1 %	23.61 ms
61.3 %	17.30 ms
61.4 %	17.74 ms
61.7 %	21.38 ms
61.8 %	18.75 ms
62.1 %	19.40 ms
62.3 %	20.81 ms
62.6 %	16.44 ms
63.0 %	15.22 ms
63.1 %	21.60 ms
63.8 %	19.28 ms
63.9 %	19.05 ms
64.7 %	18.24 ms
64.9 %	19.38 ms
64.9 %	17.45 ms
65.0 %	17.47 ms
65.2 %	22.45 ms
65.2 %	18.66 ms
65.3 %	17.38 ms
65.5 %	21.08 ms
66.1 %	21.86 ms
66.4 %	17.81 ms
66.7 %	19.01 ms
66.7 %	17.83 ms
66.9 %	21.71 ms
67.0 %	23.25 ms
67.4 %	19.44 ms
67.5 %	17.26 ms
68.1 %	23.08 ms
68.1 %	16.18 ms
68.6 %	22.98 ms
69.0 %	21.07 ms
69.0 %	19.45 ms
69.0 %	18.01 ms
69.4 %	21.41 ms
69.4 %	21.05 ms
70.0 %	21.93 ms
70.3 %	21.19 ms
70.7 %	24.62 ms
70.8 %	16.71 ms
71.0 %	21.13 ms
71.2 %	17.69 ms
71.7 %	23.40 ms
71.8 %	21.49 ms
72.1 %	24.76 ms
72.3 %	22.37 ms
72.3 %	19.05 ms
72.5 %	17.82 ms
72.5 %	26.03 ms
72.5 %	19.85 ms
72.8 %	21.37 ms
73.2 %	24.40 ms
73.3 %	24.31 ms
73.3 %	16.99 ms
74.0 %	24.84 ms
74.0 %	17.37 ms
74.2 %	19.14 ms
74.4 %	18.81 ms
74.7 %	24.35 ms
74.9 %	22.16 ms
75.1 %	17.45 ms
75.8 %	23.67 ms
75.8 %	23.41 ms
76.6 %	18.84 ms
77.2 %	22.12 ms
77.3 %	24.06 ms
77.3 %	22.95 ms
77.5 %	21.11 ms
77.7 %	23.28 ms
77.9 %	18.38 ms
78.4 %	18.80 ms
78.8 %	18.25 ms
79.0 %	23.34 ms
79.6 %	20.62 ms
79.9 %	18.99 ms
79.9 %	22.40 ms
80.4 %	21.27 ms
80.6 %	19.78 ms
81.5 %	24.15 ms
81.5 %	20.36 ms
81.7 %	18.45 ms
81.9 %	25.52 ms
82.0 %	23.14 ms
82.1 %	20.21 ms
82.4 %	20.91 ms
82.8 %	21.05 ms
83.2 %	19.55 ms
83.6 %	19.33 ms
84.4 %	22.89 ms
84.8 %	25.84 ms
85.0 %	23.17 ms
